"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US3301566180","Rye town, Rockingham County, New Hampshire","2387","168","1952","205","435","175",
"0600000US3301566660","Salem town, Rockingham County, New Hampshire","12573","472","9661","492","2912","409",
"0600000US3301567620","Sandown town, Rockingham County, New Hampshire","2223","139","1852","260","371","274",
"0600000US3301568260","Seabrook town, Rockingham County, New Hampshire","3773","206","2708","207","1065","195",
"0600000US3301571140","South Hampton town, Rockingham County, New Hampshire","349","65","315","65","34","17",
"0600000US3301574340","Stratham town, Rockingham County, New Hampshire","3019","169","2774","182","245","134",
"0600000US3301585780","Windham town, Rockingham County, New Hampshire","5454","200","5208","250","246","164",
"0600000US3301703460","Barrington town, Strafford County, New Hampshire","3452","300","3119","321","333","146",
"0600000US3301718820","Dover city, Strafford County, New Hampshire","15000","487","7694","510","7306","556",
"0600000US3301719700","Durham town, Strafford County, New Hampshire","2901","261","1891","216","1010","182",
"0600000US3301726020","Farmington town, Strafford County, New Hampshire","2866","243","2158","283","708","196",
"0600000US3301741460","Lee town, Strafford County, New Hampshire","1663","165","1582","168","81","63",
"0600000US3301744820","Madbury town, Strafford County, New Hampshire","719","83","578","90","141","64",
"0600000US3301747700","Middleton town, Strafford County, New Hampshire","597","90","566","91","31","24",
"0600000US3301748660","Milton town, Strafford County, New Hampshire","1655","132","1397","128","258","110",
"0600000US3301751220","New Durham town, Strafford County, New Hampshire","1040","105","952","102","88","57",
"0600000US3301765140","Rochester city, Strafford County, New Hampshire","13822","409","9056","492","4766","429",
"0600000US3301765540","Rollinsford town, Strafford County, New Hampshire","1118","106","890","116","228","85",
"0600000US3301769940","Somersworth city, Strafford County, New Hampshire","5305","275","3285","313","2020","340",
"0600000US3301773860","Strafford town, Strafford County, New Hampshire","1546","125","1451","138","95","58",
"0600000US3301900260","Acworth town, Sullivan County, New Hampshire","264","60","241","59","23","15",
"0600000US3301911380","Charlestown town, Sullivan County, New Hampshire","1803","188","1323","199","480","158",
"0600000US3301912900","Claremont city, Sullivan County, New Hampshire","4888","345","2789","309","2099","292",
"0600000US3301915060","Cornish town, Sullivan County, New Hampshire","782","156","745","155","37","18",
"0600000US3301916340","Croydon town, Sullivan County, New Hampshire","286","66","251","64","35","20",
"0600000US3301930500","Goshen town, Sullivan County, New Hampshire","308","64","266","56","42","29",
"0600000US3301931220","Grantham town, Sullivan County, New Hampshire","1269","178","1269","178","0","12",
"0600000US3301940900","Langdon town, Sullivan County, New Hampshire","284","55","257","53","27","16",
"0600000US3301941700","Lempster town, Sullivan County, New Hampshire","322","56","304","54","18","19",
"0600000US3301952580","Newport town, Sullivan County, New Hampshire","2538","218","1629","270","909","228",
"0600000US3301962340","Plainfield town, Sullivan County, New Hampshire","849","100","783","94","66","38",
"0600000US3301972740","Springfield town, Sullivan County, New Hampshire","327","87","292","79","35","30",
"0600000US3301975060","Sunapee town, Sullivan County, New Hampshire","1246","141","1027","133","219","105",
"0600000US3301977940","Unity town, Sullivan County, New Hampshire","480","67","456","67","24","14",
"0600000US3301978980","Washington town, Sullivan County, New Hampshire","433","79","399","73","34","22",
