ward_id_15,region_15,district_15,ward_15,region_10,district_10,ward_10,parent_overlap_pct,ward_id_10
390,dodoma,wilaya ya chemba,songolo,,,,,
391,dodoma,wilaya ya chemba,soya,,,,,
392,dodoma,wilaya ya chemba,tumbakose,,,,,
393,dodoma,wilaya ya kondoa,bereko,,,,,
394,dodoma,wilaya ya kondoa,bumbuta,,,,,
395,dodoma,wilaya ya kondoa,busi,,,,,
396,dodoma,wilaya ya kondoa,changaa,,,,,
397,dodoma,wilaya ya kondoa,haubi,,,,,
398,dodoma,wilaya ya kondoa,hondomairo,,,,,
399,dodoma,wilaya ya kondoa,itaswi,,,,,
400,dodoma,wilaya ya kondoa,itololo,,,,,
401,dodoma,wilaya ya kondoa,kalamba,,,,,
402,dodoma,wilaya ya kondoa,keikei,,,,,
403,dodoma,wilaya ya kondoa,kikilo,,,,,
404,dodoma,wilaya ya kondoa,kikore,,,,,
405,dodoma,wilaya ya kondoa,kinyasi kati,,,,,
406,dodoma,wilaya ya kondoa,kisese,,,,,
407,dodoma,wilaya ya kondoa,kwadelo,,,,,
408,dodoma,wilaya ya kondoa,masange,,,,,
409,dodoma,wilaya ya kondoa,mnenia,,,,,
410,dodoma,wilaya ya kondoa,pahi,,,,,
411,dodoma,wilaya ya kondoa,salanka,,,,,
412,dodoma,wilaya ya kondoa,soera,,,,,
413,dodoma,wilaya ya kondoa,thawi,,,,,
414,dodoma,wilaya ya kongwa,chamkoroma,,,,,
415,dodoma,wilaya ya kongwa,chitego,,,,,
416,dodoma,wilaya ya kongwa,chiwe,,,,,
417,dodoma,wilaya ya kongwa,hogoro,,,,,
418,dodoma,wilaya ya kongwa,iduo,,,,,
419,dodoma,wilaya ya kongwa,kibaigwa,,,,,
420,dodoma,wilaya ya kongwa,kongwa,,,,,
421,dodoma,wilaya ya kongwa,lenjulu,,,,,
422,dodoma,wilaya ya kongwa,makawa,,,,,
423,dodoma,wilaya ya kongwa,matongoro,,,,,
424,dodoma,wilaya ya kongwa,mkoka,,,,,
425,dodoma,wilaya ya kongwa,mlali,,,,,
426,dodoma,wilaya ya kongwa,mtanana,,,,,
427,dodoma,wilaya ya kongwa,nghumbi,,,,,
428,dodoma,wilaya ya kongwa,ngomai,,,,,
429,dodoma,wilaya ya kongwa,njoge,,,,,
430,dodoma,wilaya ya kongwa,pandambili,,,,,
431,dodoma,wilaya ya kongwa,sagara,,,,,
432,dodoma,wilaya ya kongwa,sejeli,,,,,
433,dodoma,wilaya ya kongwa,songambele,,,,,
434,dodoma,wilaya ya kongwa,ugogoni,,,,,
435,dodoma,wilaya ya kongwa,zoissa,,,,,
436,dodoma,wilaya ya mpwapwa,berege,,,,,
437,dodoma,wilaya ya mpwapwa,chipogoro,,,,,
438,dodoma,wilaya ya mpwapwa,chitemo,,,,,
439,dodoma,wilaya ya mpwapwa,chunyu,,,,,
440,dodoma,wilaya ya mpwapwa,galigali,,,,,
441,dodoma,wilaya ya mpwapwa,godegode,,,,,
442,dodoma,wilaya ya mpwapwa,gulwe,,,,,
443,dodoma,wilaya ya mpwapwa,ipera,,,,,
444,dodoma,wilaya ya mpwapwa,iwondo,,,,,
445,dodoma,wilaya ya mpwapwa,kibakwe,,,,,
446,dodoma,wilaya ya mpwapwa,kimagai,,,,,
447,dodoma,wilaya ya mpwapwa,kingiti,,,,,
448,dodoma,wilaya ya mpwapwa,lufu,,,,,
449,dodoma,wilaya ya mpwapwa,luhundwa,,,,,
450,dodoma,wilaya ya mpwapwa,lumuma,,,,,
451,dodoma,wilaya ya mpwapwa,lupeta,,,,,
452,dodoma,wilaya ya mpwapwa,malolo,,,,,
453,dodoma,wilaya ya mpwapwa,mangaliza,,,,,
454,dodoma,wilaya ya mpwapwa,massa,,,,,
455,dodoma,wilaya ya mpwapwa,matomondo,,,,,
456,dodoma,wilaya ya mpwapwa,mazae,,,,,
457,dodoma,wilaya ya mpwapwa,mbuga,,,,,
458,dodoma,wilaya ya mpwapwa,mima,,,,,
459,dodoma,wilaya ya mpwapwa,mlembule,,,,,
460,dodoma,wilaya ya mpwapwa,mlunduzi,,,,,
461,dodoma,wilaya ya mpwapwa,mpwapwa mjini,,,,,
462,dodoma,wilaya ya mpwapwa,mtera,,,,,
463,dodoma,wilaya ya mpwapwa,ngambi,,,,,
464,dodoma,wilaya ya mpwapwa,pwaga,,,,,
465,dodoma,wilaya ya mpwapwa,rudi,,,,,
466,dodoma,wilaya ya mpwapwa,vinghawe,,,,,
467,dodoma,wilaya ya mpwapwa,wangi,,,,,
468,dodoma,wilaya ya mpwapwa,wotta,,,,,
469,geita,mji wa geita,bombambili,,,,,
470,geita,mji wa geita,buhalahala,,,,,
471,geita,mji wa geita,bulela,,,,,
472,geita,mji wa geita,bungwangoko,,,,,
473,geita,mji wa geita,ihanamilo,,,,,
474,geita,mji wa geita,kalangalala,,,,,
475,geita,mji wa geita,kanyala,,,,,
476,geita,mji wa geita,kasamwa,,,,,
477,geita,mji wa geita,mgusu,,,,,
478,geita,mji wa geita,mtakuja,,,,,
479,geita,mji wa geita,nyanguku,,,,,
480,geita,mji wa geita,nyankumbu,,,,,
481,geita,mji wa geita,shiloleli,,,,,
497,geita,wilaya ya bukombe,bugelenga,,,,,
498,geita,wilaya ya bukombe,bukombe,,,,,
499,geita,wilaya ya bukombe,bulangwa,,,,,
500,geita,wilaya ya bukombe,bulega,,,,,
501,geita,wilaya ya bukombe,busonzo,,,,,
502,geita,wilaya ya bukombe,butinzya,,,,,
503,geita,wilaya ya bukombe,igulwa,,,,,
504,geita,wilaya ya bukombe,iyogelo,,,,,
505,geita,wilaya ya bukombe,katente,,,,,
506,geita,wilaya ya bukombe,katome,,,,,
507,geita,wilaya ya bukombe,lyambamgongo,,,,,
508,geita,wilaya ya bukombe,namonge,,,,,
509,geita,wilaya ya bukombe,nganzo,,,,,
510,geita,wilaya ya bukombe,runzewe magharibi,,,,,
511,geita,wilaya ya bukombe,runzewe mashariki,,,,,
512,geita,wilaya ya bukombe,ushirombo,,,,,
513,geita,wilaya ya bukombe,uyovu,,,,,
514,geita,wilaya ya chato,bukome,,,,,
